LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,datetime,occupancy,radius_miles,geohash,delimited
-122.3912672,37.7690928,1550,04th Street,,,,,94158,,2025-06-29 00:00:00.000000,4.0,1.5279863916147942,9q8yygtkuv0w,"37.7690928,-122.3912672"
-122.3908502,37.7694259,1505,04th Street,,,,,94158,,2025-06-29 00:00:00.330337,4.0,2.8896984691628655,9q8yygtwy7r9,"37.7694259,-122.3908502"
-122.428577,37.7806267,1160,Buchanan Street,,,,,94115,,2025-06-29 00:00:00.660674,5.0,2.479298138979876,9q8yyjf0p7k2,"37.7806267,-122.428577"
-122.4285341,37.780385,1142,Buchanan Street,,,,,94115,,2025-06-29 00:00:00.991011,1.0,1.2549488459345062,9q8yyjdq8qhr,"37.780385,-122.4285341"
-122.4285247,37.7803172,1140,Buchanan Street,,,,,94115,,2025-06-29 00:00:01.321348,6.0,1.540192968595555,9q8yyjdq29e6,"37.7803172,-122.4285247"
-122.4289542,37.7802883,1111,Buchanan Street,,,,,94115,,2025-06-29 00:00:01.651686,2.0,1.8861118730406479,9q8yyj9yns5n,"37.7802883,-122.4289542"
-122.4285475,37.7804295,1146,Buchanan Street,,,,,94115,,2025-06-29 00:00:01.982023,4.0,1.0470467711109637,9q8yyjdqbnd2,"37.7804295,-122.4285475"
-122.4285609,37.7805154,1156,Buchanan Street,,,,,94115,,2025-06-29 00:00:02.312360,3.0,2.244689799589435,9q8yyjdpry82,"37.7805154,-122.4285609"
-122.4277775,37.7796098,1002,Buchanan Street,,,,,94115,,2025-06-29 00:00:02.642697,5.0,2.8675840850597423,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1030,Buchanan Street,,,,,94115,,2025-06-29 00:00:02.973034,5.0,1.4073178232317287,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1028,Buchanan Street,,,,,94115,,2025-06-29 00:00:03.303371,3.0,2.9585917367634953,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1026,Buchanan Street,,,,,94115,,2025-06-29 00:00:03.633708,6.0,2.2246713517350694,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1024,Buchanan Street,,,,,94115,,2025-06-29 00:00:03.964045,1.0,2.304612410409653,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1022,Buchanan Street,,,,,94115,,2025-06-29 00:00:04.294382,5.0,1.3540954730068666,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1020,Buchanan Street,,,,,94115,,2025-06-29 00:00:04.624719,1.0,2.6112729720064447,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1018,Buchanan Street,,,,,94115,,2025-06-29 00:00:04.955057,4.0,2.3215767044868683,9q8yyjdf4j8w,"37.7796098,-122.4277775"
